SampleID,Fusobacterium,Bacteroides,Prevotella,Faecalibacterium,Escherichia,Clostridium,label
S1,0.32,0.21,0.08,0.05,0.18,0.16,1
S2,0.29,0.23,0.07,0.06,0.20,0.15,1
S3,0.35,0.20,0.06,0.04,0.19,0.16,1
S4,0.31,0.22,0.09,0.05,0.17,0.16,1
S5,0.28,0.24,0.08,0.07,0.18,0.15,1
S6,0.07,0.30,0.19,0.22,0.08,0.14,0
S7,0.06,0.32,0.18,0.20,0.09,0.15,0
S8,0.08,0.29,0.21,0.23,0.07,0.12,0
S9,0.05,0.31,0.20,0.21,0.08,0.15,0
S10,0.07,0.33,0.17,0.22,0.09,0.12,0
S11,0.34,0.19,0.07,0.05,0.21,0.14,1
S12,0.06,0.30,0.22,0.24,0.07,0.11,0
